tabla,variable,media,maximo,minimo,desviacion
clima_data,co2,446.7094,498.04,400.32,31.92033529961739
clima_data,humedad,64.18560000000001,72.96,57.31,4.476802948533696
clima_data,intensidad_luz,800.0,800.0,800.0,0.0
clima_data,presion,1012.9504,1017.57,1008.05,2.8511625418414948
clima_data,temperatura,21.941599999999998,24.0,20.08,1.1694671607189318
plantas_data,calidad_frutos,45.44660000000001,98.91,6.82,26.552440310449807
plantas_data,cantidad_frutos,5.82,10.0,0.0,2.9912539176739914
plantas_data,crecimiento,12.828000000000001,14.95,10.01,1.4715678713535438
plantas_data,nivel_salud,84.8248,99.46,71.19,8.246452628858059
riego_data,caudal_historico,2.1108,2.97,1.0,0.5710966293019072
riego_data,conductividad,1.5752000000000002,1.79,1.25,0.16184239246872248
riego_data,flujo,1.8120000000000003,2.29,1.35,0.25253910588263356
riego_data,nivel_deposito,74.73160000000001,99.82,52.21,13.317056635758519
riego_data,ph,6.007999999999999,6.49,5.56,0.3248014778291503
